,Date,datetime,Open,High,Low,Close
0,1985-03-25,1985-03-25,12526.09,12535.1,12479.03,12493.26
1,1985-03-26,1985-03-26,12473.34,12486.15,12448.1,12486.15
2,1985-03-27,1985-03-27,12484.46,12551.77,12483.5,12550.82
3,1985-03-28,1985-03-28,12595.35,12611.17,12575.9,12604.02
4,1985-03-29,1985-03-29,12613.27,12622.62,12567.32,12580.76
5,1985-03-30,1985-03-30,12568.65,12591.82,12551.87,12590.2
6,1985-04-01,1985-04-01,12609.94,12677.15,12600.97,12677.15
7,1985-04-02,1985-04-02,12678.49,12680.87,12608.41,12629.86
8,1985-04-03,1985-04-03,12624.05,12683.26,12621.38,12683.26
9,1985-04-04,1985-04-04,12682.21,12689.74,12614.99,12627.1
10,1985-04-05,1985-04-05,12637.11,12643.78,12523.55,12544.24
11,1985-04-06,1985-04-06,12520.98,12571.13,12520.4,12569.98
12,1985-04-08,1985-04-08,12589.15,12635.96,12572.27,12635.96
13,1985-04-09,1985-04-09,12642.35,12646.64,12607.65,12630.43
14,1985-04-10,1985-04-10,12642.73,12650.65,12581.71,12601.93
15,1985-04-11,1985-04-11,12620.61,12630.43,12567.51,12573.8
16,1985-04-12,1985-04-12,12580.09,12592.68,12558.64,12588.01
17,1985-04-15,1985-04-15,12597.16,12618.99,12552.73,12552.73
18,1985-04-16,1985-04-16,12522.98,12538.62,12146.93,12207.28
19,1985-04-17,1985-04-17,12163.9,12306.06,12163.9,12302.06
20,1985-04-18,1985-04-18,12293.38,12293.38,12022.79,12052.82
21,1985-04-19,1985-04-19,12040.9,12152.84,11996.0,12114.8
22,1985-04-20,1985-04-20,12164.28,12238.94,12136.92,12232.07
23,1985-04-22,1985-04-22,12267.73,12278.32,12172.29,12179.92
24,1985-04-23,1985-04-23,12167.33,12174.87,12103.07,12124.14
25,1985-04-24,1985-04-24,12159.9,12217.77,12147.6,12217.77
26,1985-04-25,1985-04-25,12249.0,12333.97,12240.31,12333.87
27,1985-04-26,1985-04-26,12378.37,12407.1,12359.18,12405.1
28,1985-04-27,1985-04-27,12435.08,12480.81,12428.3,12465.92
29,1985-04-30,1985-04-30,12438.9,12443.19,12385.34,12426.29
30,1985-05-01,1985-05-01,12441.28,12456.65,12432.79,12456.65
31,1985-05-02,1985-05-02,12429.44,12451.79,12409.68,12451.79
32,1985-05-04,1985-05-04,12463.43,12545.25,12444.24,12545.25
33,1985-05-07,1985-05-07,12551.27,12556.9,12490.45,12506.3
34,1985-05-08,1985-05-08,12552.42,12565.5,12503.63,12521.2
35,1985-05-09,1985-05-09,12532.84,12532.84,12466.2,12474.51
36,1985-05-10,1985-05-10,12491.6,12527.31,12475.37,12527.31
37,1985-05-13,1985-05-13,12569.12,12571.8,12531.32,12541.53
38,1985-05-14,1985-05-14,12562.44,12567.31,12483.01,12504.2
39,1985-05-15,1985-05-15,12506.11,12510.6,12351.82,12358.03
40,1985-05-16,1985-05-16,12364.9,12369.3,12307.62,12369.3
41,1985-05-17,1985-05-17,12407.77,12434.6,12381.99,12419.99
42,1985-05-18,1985-05-18,12476.32,12518.43,12442.52,12516.14
43,1985-05-20,1985-05-20,12542.58,12574.47,12538.67,12559.1
44,1985-05-21,1985-05-21,12624.59,12669.85,12597.38,12650.37
45,1985-05-22,1985-05-22,12688.37,12697.35,12665.46,12673.57
46,1985-05-23,1985-05-23,12688.75,12689.04,12632.14,12649.13
47,1985-05-24,1985-05-24,12625.07,12649.51,12588.03,12593.85
48,1985-05-25,1985-05-25,12605.4,12607.98,12571.03,12593.76
49,1985-05-27,1985-05-27,12631.56,12642.73,12609.6,12642.73
50,1985-05-28,1985-05-28,12656.22,12702.6,12642.33,12694.93
51,1985-05-29,1985-05-29,12722.62,12783.94,12706.52,12767.17
52,1985-05-30,1985-05-30,12794.77,12812.78,12770.43,12790.27
53,1985-05-31,1985-05-31,12807.32,12835.87,12748.11,12758.46
54,1985-06-01,1985-06-01,12764.78,12766.89,12689.47,12689.47
55,1985-06-03,1985-06-03,12688.99,12689.57,12456.55,12473.41
56,1985-06-04,1985-06-04,12476.29,12583.31,12468.43,12583.31
57,1985-06-05,1985-06-05,12673.09,12704.99,12635.14,12693.21
58,1985-06-06,1985-06-06,12722.53,12744.75,12697.71,12716.11
59,1985-06-07,1985-06-07,12738.33,12743.89,12638.02,12716.59
60,1985-06-10,1985-06-10,12700.49,12721.95,12661.21,12683.34
61,1985-06-11,1985-06-11,12691.0,12759.03,12689.47,12758.93
62,1985-06-12,1985-06-12,12794.86,12795.82,12723.39,12748.01
63,1985-06-13,1985-06-13,12737.66,12743.22,12705.28,12717.16
64,1985-06-14,1985-06-14,12693.4,12696.56,12677.3,12685.25
65,1985-06-15,1985-06-15,12710.26,12753.38,12707.39,12753.38
66,1985-06-17,1985-06-17,12776.56,12789.88,12759.8,12769.28
67,1985-06-18,1985-06-18,12782.7,12792.09,12734.5,12741.11
68,1985-06-19,1985-06-19,12802.34,12813.55,12744.45,12773.59
69,1985-06-20,1985-06-20,12758.74,12770.53,12664.46,12677.97
70,1985-06-21,1985-06-21,12653.25,12668.3,12634.76,12634.76
71,1985-06-22,1985-06-22,12709.02,12729.62,12674.43,12729.62
72,1985-06-24,1985-06-24,12783.46,12807.51,12765.93,12765.93
73,1985-06-25,1985-06-25,12738.72,12837.02,12738.72,12837.02
74,1985-06-26,1985-06-26,12874.41,12916.05,12871.15,12910.29
75,1985-06-27,1985-06-27,12939.27,12941.76,12772.71,12841.6
76,1985-06-28,1985-06-28,12889.67,12923.05,12882.09,12882.09
77,1985-06-29,1985-06-29,12899.93,12923.05,12886.79,12923.05
78,1985-07-01,1985-07-01,12949.63,12959.32,12912.41,12919.03
79,1985-07-02,1985-07-02,12938.02,12942.24,12896.38,12913.75
80,1985-07-03,1985-07-03,12922.1,12927.76,12902.91,12924.3
81,1985-07-04,1985-07-04,12933.61,12969.59,12928.24,12969.59
82,1985-07-05,1985-07-05,12995.01,13016.69,12941.0,12963.35
83,1985-07-06,1985-07-06,12994.05,13040.68,12977.07,13040.1
84,1985-07-08,1985-07-08,13068.5,13102.66,13029.65,13029.65
85,1985-07-09,1985-07-09,13059.29,13068.21,13019.76,13021.01
86,1985-07-10,1985-07-10,13033.29,13038.09,12986.86,13012.09
87,1985-07-11,1985-07-11,13027.15,13027.15,12833.35,12858.1
88,1985-07-12,1985-07-12,12860.5,12885.06,12823.56,12839.49
89,1985-07-15,1985-07-15,12851.87,12852.15,12461.38,12598.77
90,1985-07-16,1985-07-16,12590.9,12703.92,12587.83,12698.26
91,1985-07-17,1985-07-17,12775.11,12846.49,12737.41,12846.49
92,1985-07-18,1985-07-18,12889.19,12895.14,12830.76,12852.54
93,1985-07-19,1985-07-19,12850.62,12855.61,12780.39,12788.54
94,1985-07-20,1985-07-20,12798.33,12808.02,12777.8,12797.66
95,1985-07-22,1985-07-22,12794.78,12816.75,12760.34,12771.66
96,1985-07-23,1985-07-23,12800.35,12820.78,12756.12,12762.83
97,1985-07-24,1985-07-24,12779.81,12779.81,12729.06,12777.03
98,1985-07-25,1985-07-25,12761.68,12765.81,12625.44,12647.03
99,1985-07-26,1985-07-26,12638.59,12663.92,12615.47,12648.09
100,1985-07-27,1985-07-27,12681.35,12692.2,12670.12,12690.37
101,1985-07-29,1985-07-29,12702.66,12710.24,12582.11,12591.42
102,1985-07-30,1985-07-30,12521.07,12568.86,12257.89,12269.89
103,1985-07-31,1985-07-31,12275.46,12295.42,12203.19,12232.27
104,1985-08-01,1985-08-01,12319.51,12539.59,12279.49,12538.34
