,Fridays,Mondays
872,1986-09-19,1986-09-22
873,1986-09-26,1986-09-29
874,1986-10-03,1986-10-06
875,1986-10-10,1986-10-13
876,1986-10-17,1986-10-20
877,1986-10-24,1986-10-27
878,1986-10-31,1986-11-03
879,1986-11-07,1986-11-10
880,1986-11-14,1986-11-17
881,1986-11-21,1986-11-24
882,1986-11-28,1986-12-01
883,1986-12-05,1986-12-08
884,1986-12-12,1986-12-15
885,1986-12-19,1986-12-22
886,1986-12-26,1986-12-29
887,1987-01-02,1987-01-05
888,1987-01-09,1987-01-12
889,1987-01-16,1987-01-19
890,1987-01-23,1987-01-26
891,1987-01-30,1987-02-02
892,1987-02-06,1987-02-09
893,1987-02-13,1987-02-16
894,1987-02-20,1987-02-23
895,1987-02-27,1987-03-02
896,1987-03-06,1987-03-09
897,1987-03-13,1987-03-16
898,1987-03-20,1987-03-23
899,1987-03-27,1987-03-30
900,1987-04-03,1987-04-06
901,1987-04-10,1987-04-13
902,1987-04-17,1987-04-20
903,1987-04-24,1987-04-27
904,1987-05-01,1987-05-04
905,1987-05-08,1987-05-11
906,1987-05-15,1987-05-18
907,1987-05-22,1987-05-25
908,1987-05-29,1987-06-01
909,1987-06-05,1987-06-08
910,1987-06-12,1987-06-15
911,1987-06-19,1987-06-22
912,1987-06-26,1987-06-29
913,1987-07-03,1987-07-06
914,1987-07-10,1987-07-13
915,1987-07-17,1987-07-20
916,1987-07-24,1987-07-27
917,1987-07-31,1987-08-03
918,1987-08-07,1987-08-10
919,1987-08-14,1987-08-17
920,1987-08-21,1987-08-24
921,1987-08-28,1987-08-31
922,1987-09-04,1987-09-07
923,1987-09-11,1987-09-14
924,1987-09-18,1987-09-21
925,1987-09-25,1987-09-28
926,1987-10-02,1987-10-05
927,1987-10-09,1987-10-12
928,1987-10-16,1987-10-19
929,1987-10-23,1987-10-26
930,1987-10-30,1987-11-02
931,1987-11-06,1987-11-09
932,1987-11-13,1987-11-16
933,1987-11-20,1987-11-23
934,1987-11-27,1987-11-30
935,1987-12-04,1987-12-07
936,1987-12-11,1987-12-14
937,1987-12-18,1987-12-21
938,1987-12-25,1987-12-28
939,1988-01-01,1988-01-04
940,1988-01-08,1988-01-11
941,1988-01-15,1988-01-18
942,1988-01-22,1988-01-25
943,1988-01-29,1988-02-01
944,1988-02-05,1988-02-08
945,1988-02-12,1988-02-15
946,1988-02-19,1988-02-22
947,1988-02-26,1988-02-29
948,1988-03-04,1988-03-07
949,1988-03-11,1988-03-14
950,1988-03-18,1988-03-21
951,1988-03-25,1988-03-28
952,1988-04-01,1988-04-04
953,1988-04-08,1988-04-11
954,1988-04-15,1988-04-18
955,1988-04-22,1988-04-25
956,1988-04-29,1988-05-02
957,1988-05-06,1988-05-09
958,1988-05-13,1988-05-16
959,1988-05-20,1988-05-23
960,1988-05-27,1988-05-30
961,1988-06-03,1988-06-06
962,1988-06-10,1988-06-13
963,1988-06-17,1988-06-20
964,1988-06-24,1988-06-27
965,1988-07-01,1988-07-04
966,1988-07-08,1988-07-11
967,1988-07-15,1988-07-18
968,1988-07-22,1988-07-25
969,1988-07-29,1988-08-01
970,1988-08-05,1988-08-08
971,1988-08-12,1988-08-15
972,1988-08-19,1988-08-22
973,1988-08-26,1988-08-29
974,1988-09-02,1988-09-05
975,1988-09-09,1988-09-12
976,1988-09-16,1988-09-19
977,1988-09-23,1988-09-26
978,1988-09-30,1988-10-03
979,1988-10-07,1988-10-10
980,1988-10-14,1988-10-17
981,1988-10-21,1988-10-24
982,1988-10-28,1988-10-31
983,1988-11-04,1988-11-07
984,1988-11-11,1988-11-14
985,1988-11-18,1988-11-21
986,1988-11-25,1988-11-28
987,1988-12-02,1988-12-05
988,1988-12-09,1988-12-12
989,1988-12-16,1988-12-19
990,1988-12-23,1988-12-26
991,1988-12-30,1989-01-02
992,1989-01-06,1989-01-09
993,1989-01-13,1989-01-16
994,1989-01-20,1989-01-23
995,1989-01-27,1989-01-30
996,1989-02-03,1989-02-06
997,1989-02-10,1989-02-13
998,1989-02-17,1989-02-20
999,1989-02-24,1989-02-27
1000,1989-03-03,1989-03-06
1001,1989-03-10,1989-03-13
1002,1989-03-17,1989-03-20
1003,1989-03-24,1989-03-27
1004,1989-03-31,1989-04-03
1005,1989-04-07,1989-04-10
1006,1989-04-14,1989-04-17
1007,1989-04-21,1989-04-24
1008,1989-04-28,1989-05-01
1009,1989-05-05,1989-05-08
1010,1989-05-12,1989-05-15
1011,1989-05-19,1989-05-22
1012,1989-05-26,1989-05-29
1013,1989-06-02,1989-06-05
1014,1989-06-09,1989-06-12
1015,1989-06-16,1989-06-19
1016,1989-06-23,1989-06-26
1017,1989-06-30,1989-07-03
1018,1989-07-07,1989-07-10
1019,1989-07-14,1989-07-17
1020,1989-07-21,1989-07-24
1021,1989-07-28,1989-07-31
1022,1989-08-04,1989-08-07
1023,1989-08-11,1989-08-14
1024,1989-08-18,1989-08-21
1025,1989-08-25,1989-08-28
1026,1989-09-01,1989-09-04
1027,1989-09-08,1989-09-11
1028,1989-09-15,1989-09-18
1029,1989-09-22,1989-09-25
1030,1989-09-29,1989-10-02
1031,1989-10-06,1989-10-09
1032,1989-10-13,1989-10-16
1033,1989-10-20,1989-10-23
1034,1989-10-27,1989-10-30
1035,1989-11-03,1989-11-06
1036,1989-11-10,1989-11-13
1037,1989-11-17,1989-11-20
1038,1989-11-24,1989-11-27
1039,1989-12-01,1989-12-04
1040,1989-12-08,1989-12-11
1041,1989-12-15,1989-12-18
1042,1989-12-22,1989-12-25
1043,1989-12-29,1990-01-01
1044,1990-01-05,1990-01-08
1045,1990-01-12,1990-01-15
1046,1990-01-19,1990-01-22
1047,1990-01-26,1990-01-29
1048,1990-02-02,1990-02-05
1049,1990-02-09,1990-02-12
1050,1990-02-16,1990-02-19
1051,1990-02-23,1990-02-26
1052,1990-03-02,1990-03-05
1053,1990-03-09,1990-03-12
1054,1990-03-16,1990-03-19
1055,1990-03-23,1990-03-26
1056,1990-03-30,1990-04-02
1057,1990-04-06,1990-04-09
1058,1990-04-13,1990-04-16
1059,1990-04-20,1990-04-23
1060,1990-04-27,1990-04-30
1061,1990-05-04,1990-05-07
1062,1990-05-11,1990-05-14
1063,1990-05-18,1990-05-21
1064,1990-05-25,1990-05-28
1065,1990-06-01,1990-06-04
1066,1990-06-08,1990-06-11
1067,1990-06-15,1990-06-18
1068,1990-06-22,1990-06-25
1069,1990-06-29,1990-07-02
1070,1990-07-06,1990-07-09
1071,1990-07-13,1990-07-16
1072,1990-07-20,1990-07-23
1073,1990-07-27,1990-07-30
1074,1990-08-03,1990-08-06
1075,1990-08-10,1990-08-13
1076,1990-08-17,1990-08-20
1077,1990-08-24,1990-08-27
1078,1990-08-31,1990-09-03
1079,1990-09-07,1990-09-10
1080,1990-09-14,1990-09-17
1081,1990-09-21,1990-09-24
1082,1990-09-28,1990-10-01
1083,1990-10-05,1990-10-08
1084,1990-10-12,1990-10-15
1085,1990-10-19,1990-10-22
1086,1990-10-26,1990-10-29
1087,1990-11-02,1990-11-05
1088,1990-11-09,1990-11-12
1089,1990-11-16,1990-11-19
1090,1990-11-23,1990-11-26
1091,1990-11-30,1990-12-03
1092,1990-12-07,1990-12-10
1093,1990-12-14,1990-12-17
1094,1990-12-21,1990-12-24
1095,1990-12-28,1990-12-31
1096,1991-01-04,1991-01-07
1097,1991-01-11,1991-01-14
1098,1991-01-18,1991-01-21
1099,1991-01-25,1991-01-28
1100,1991-02-01,1991-02-04
1101,1991-02-08,1991-02-11
1102,1991-02-15,1991-02-18
1103,1991-02-22,1991-02-25
1104,1991-03-01,1991-03-04
1105,1991-03-08,1991-03-11
1106,1991-03-15,1991-03-18
1107,1991-03-22,1991-03-25
1108,1991-03-29,1991-04-01
1109,1991-04-05,1991-04-08
1110,1991-04-12,1991-04-15
1111,1991-04-19,1991-04-22
1112,1991-04-26,1991-04-29
1113,1991-05-03,1991-05-06
1114,1991-05-10,1991-05-13
1115,1991-05-17,1991-05-20
1116,1991-05-24,1991-05-27
1117,1991-05-31,1991-06-03
1118,1991-06-07,1991-06-10
1119,1991-06-14,1991-06-17
1120,1991-06-21,1991-06-24
1121,1991-06-28,1991-07-01
1122,1991-07-05,1991-07-08
1123,1991-07-12,1991-07-15
1124,1991-07-19,1991-07-22
1125,1991-07-26,1991-07-29
1126,1991-08-02,1991-08-05
1127,1991-08-09,1991-08-12
1128,1991-08-16,1991-08-19
1129,1991-08-23,1991-08-26
1130,1991-08-30,1991-09-02
1131,1991-09-06,1991-09-09
1132,1991-09-13,1991-09-16
1133,1991-09-20,1991-09-23
1134,1991-09-27,1991-09-30
1135,1991-10-04,1991-10-07
1136,1991-10-11,1991-10-14
1137,1991-10-18,1991-10-21
1138,1991-10-25,1991-10-28
1139,1991-11-01,1991-11-04
1140,1991-11-08,1991-11-11
1141,1991-11-15,1991-11-18
1142,1991-11-22,1991-11-25
1143,1991-11-29,1991-12-02
1144,1991-12-06,1991-12-09
1145,1991-12-13,1991-12-16
1146,1991-12-20,1991-12-23
1147,1991-12-27,1991-12-30
1148,1992-01-03,1992-01-06
1149,1992-01-10,1992-01-13
1150,1992-01-17,1992-01-20
1151,1992-01-24,1992-01-27
1152,1992-01-31,1992-02-03
1153,1992-02-07,1992-02-10
1154,1992-02-14,1992-02-17
1155,1992-02-21,1992-02-24
1156,1992-02-28,1992-03-02
1157,1992-03-06,1992-03-09
1158,1992-03-13,1992-03-16
1159,1992-03-20,1992-03-23
1160,1992-03-27,1992-03-30
1161,1992-04-03,1992-04-06
1162,1992-04-10,1992-04-13
1163,1992-04-17,1992-04-20
1164,1992-04-24,1992-04-27
1165,1992-05-01,1992-05-04
1166,1992-05-08,1992-05-11
1167,1992-05-15,1992-05-18
1168,1992-05-22,1992-05-25
1169,1992-05-29,1992-06-01
1170,1992-06-05,1992-06-08
1171,1992-06-12,1992-06-15
1172,1992-06-19,1992-06-22
1173,1992-06-26,1992-06-29
1174,1992-07-03,1992-07-06
1175,1992-07-10,1992-07-13
1176,1992-07-17,1992-07-20
1177,1992-07-24,1992-07-27
1178,1992-07-31,1992-08-03
1179,1992-08-07,1992-08-10
1180,1992-08-14,1992-08-17
1181,1992-08-21,1992-08-24
1182,1992-08-28,1992-08-31
1183,1992-09-04,1992-09-07
1184,1992-09-11,1992-09-14
1185,1992-09-18,1992-09-21
1186,1992-09-25,1992-09-28
1187,1992-10-02,1992-10-05
1188,1992-10-09,1992-10-12
1189,1992-10-16,1992-10-19
1190,1992-10-23,1992-10-26
1191,1992-10-30,1992-11-02
1192,1992-11-06,1992-11-09
1193,1992-11-13,1992-11-16
1194,1992-11-20,1992-11-23
1195,1992-11-27,1992-11-30
1196,1992-12-04,1992-12-07
1197,1992-12-11,1992-12-14
1198,1992-12-18,1992-12-21
1199,1992-12-25,1992-12-28
1200,1993-01-01,1993-01-04
1201,1993-01-08,1993-01-11
1202,1993-01-15,1993-01-18
1203,1993-01-22,1993-01-25
1204,1993-01-29,1993-02-01
1205,1993-02-05,1993-02-08
1206,1993-02-12,1993-02-15
1207,1993-02-19,1993-02-22
1208,1993-02-26,1993-03-01
1209,1993-03-05,1993-03-08
1210,1993-03-12,1993-03-15
1211,1993-03-19,1993-03-22
1212,1993-03-26,1993-03-29
1213,1993-04-02,1993-04-05
1214,1993-04-09,1993-04-12
1215,1993-04-16,1993-04-19
1216,1993-04-23,1993-04-26
1217,1993-04-30,1993-05-03
1218,1993-05-07,1993-05-10
1219,1993-05-14,1993-05-17
1220,1993-05-21,1993-05-24
1221,1993-05-28,1993-05-31
1222,1993-06-04,1993-06-07
1223,1993-06-11,1993-06-14
1224,1993-06-18,1993-06-21
1225,1993-06-25,1993-06-28
1226,1993-07-02,1993-07-05
1227,1993-07-09,1993-07-12
1228,1993-07-16,1993-07-19
1229,1993-07-23,1993-07-26
1230,1993-07-30,1993-08-02
1231,1993-08-06,1993-08-09
1232,1993-08-13,1993-08-16
1233,1993-08-20,1993-08-23
1234,1993-08-27,1993-08-30
1235,1993-09-03,1993-09-06
1236,1993-09-10,1993-09-13
1237,1993-09-17,1993-09-20
1238,1993-09-24,1993-09-27
1239,1993-10-01,1993-10-04
1240,1993-10-08,1993-10-11
1241,1993-10-15,1993-10-18
1242,1993-10-22,1993-10-25
1243,1993-10-29,1993-11-01
1244,1993-11-05,1993-11-08
1245,1993-11-12,1993-11-15
1246,1993-11-19,1993-11-22
1247,1993-11-26,1993-11-29
1248,1993-12-03,1993-12-06
1249,1993-12-10,1993-12-13
1250,1993-12-17,1993-12-20
1251,1993-12-24,1993-12-27
1252,1993-12-31,1994-01-03
1253,1994-01-07,1994-01-10
1254,1994-01-14,1994-01-17
1255,1994-01-21,1994-01-24
1256,1994-01-28,1994-01-31
1257,1994-02-04,1994-02-07
1258,1994-02-11,1994-02-14
1259,1994-02-18,1994-02-21
1260,1994-02-25,1994-02-28
1261,1994-03-04,1994-03-07
1262,1994-03-11,1994-03-14
1263,1994-03-18,1994-03-21
1264,1994-03-25,1994-03-28
1265,1994-04-01,1994-04-04
1266,1994-04-08,1994-04-11
1267,1994-04-15,1994-04-18
1268,1994-04-22,1994-04-25
1269,1994-04-29,1994-05-02
1270,1994-05-06,1994-05-09
1271,1994-05-13,1994-05-16
1272,1994-05-20,1994-05-23
1273,1994-05-27,1994-05-30
1274,1994-06-03,1994-06-06
1275,1994-06-10,1994-06-13
1276,1994-06-17,1994-06-20
1277,1994-06-24,1994-06-27
1278,1994-07-01,1994-07-04
1279,1994-07-08,1994-07-11
1280,1994-07-15,1994-07-18
1281,1994-07-22,1994-07-25
1282,1994-07-29,1994-08-01
1283,1994-08-05,1994-08-08
1284,1994-08-12,1994-08-15
1285,1994-08-19,1994-08-22
1286,1994-08-26,1994-08-29
1287,1994-09-02,1994-09-05
1288,1994-09-09,1994-09-12
1289,1994-09-16,1994-09-19
1290,1994-09-23,1994-09-26
1291,1994-09-30,1994-10-03
1292,1994-10-07,1994-10-10
1293,1994-10-14,1994-10-17
1294,1994-10-21,1994-10-24
1295,1994-10-28,1994-10-31
1296,1994-11-04,1994-11-07
1297,1994-11-11,1994-11-14
1298,1994-11-18,1994-11-21
1299,1994-11-25,1994-11-28
1300,1994-12-02,1994-12-05
1301,1994-12-09,1994-12-12
1302,1994-12-16,1994-12-19
1303,1994-12-23,1994-12-26
1304,1994-12-30,1995-01-02
1305,1995-01-06,1995-01-09
1306,1995-01-13,1995-01-16
1307,1995-01-20,1995-01-23
1308,1995-01-27,1995-01-30
1309,1995-02-03,1995-02-06
1310,1995-02-10,1995-02-13
1311,1995-02-17,1995-02-20
1312,1995-02-24,1995-02-27
1313,1995-03-03,1995-03-06
1314,1995-03-10,1995-03-13
1315,1995-03-17,1995-03-20
1316,1995-03-24,1995-03-27
1317,1995-03-31,1995-04-03
1318,1995-04-07,1995-04-10
1319,1995-04-14,1995-04-17
1320,1995-04-21,1995-04-24
1321,1995-04-28,1995-05-01
1322,1995-05-05,1995-05-08
1323,1995-05-12,1995-05-15
1324,1995-05-19,1995-05-22
1325,1995-05-26,1995-05-29
1326,1995-06-02,1995-06-05
1327,1995-06-09,1995-06-12
1328,1995-06-16,1995-06-19
1329,1995-06-23,1995-06-26
1330,1995-06-30,1995-07-03
1331,1995-07-07,1995-07-10
1332,1995-07-14,1995-07-17
1333,1995-07-21,1995-07-24
1334,1995-07-28,1995-07-31
1335,1995-08-04,1995-08-07
1336,1995-08-11,1995-08-14
1337,1995-08-18,1995-08-21
1338,1995-08-25,1995-08-28
1339,1995-09-01,1995-09-04
1340,1995-09-08,1995-09-11
1341,1995-09-15,1995-09-18
1342,1995-09-22,1995-09-25
1343,1995-09-29,1995-10-02
1344,1995-10-06,1995-10-09
1345,1995-10-13,1995-10-16
1346,1995-10-20,1995-10-23
1347,1995-10-27,1995-10-30
1348,1995-11-03,1995-11-06
1349,1995-11-10,1995-11-13
1350,1995-11-17,1995-11-20
1351,1995-11-24,1995-11-27
1352,1995-12-01,1995-12-04
1353,1995-12-08,1995-12-11
1354,1995-12-15,1995-12-18
1355,1995-12-22,1995-12-25
1356,1995-12-29,1996-01-01
1357,1996-01-05,1996-01-08
1358,1996-01-12,1996-01-15
1359,1996-01-19,1996-01-22
1360,1996-01-26,1996-01-29
1361,1996-02-02,1996-02-05
1362,1996-02-09,1996-02-12
1363,1996-02-16,1996-02-19
1364,1996-02-23,1996-02-26
1365,1996-03-01,1996-03-04
1366,1996-03-08,1996-03-11
1367,1996-03-15,1996-03-18
1368,1996-03-22,1996-03-25
1369,1996-03-29,1996-04-01
1370,1996-04-05,1996-04-08
1371,1996-04-12,1996-04-15
1372,1996-04-19,1996-04-22
1373,1996-04-26,1996-04-29
1374,1996-05-03,1996-05-06
1375,1996-05-10,1996-05-13
1376,1996-05-17,1996-05-20
1377,1996-05-24,1996-05-27
1378,1996-05-31,1996-06-03
1379,1996-06-07,1996-06-10
1380,1996-06-14,1996-06-17
1381,1996-06-21,1996-06-24
1382,1996-06-28,1996-07-01
1383,1996-07-05,1996-07-08
1384,1996-07-12,1996-07-15
1385,1996-07-19,1996-07-22
1386,1996-07-26,1996-07-29
1387,1996-08-02,1996-08-05
1388,1996-08-09,1996-08-12
1389,1996-08-16,1996-08-19
1390,1996-08-23,1996-08-26
1391,1996-08-30,1996-09-02
1392,1996-09-06,1996-09-09
1393,1996-09-13,1996-09-16
1394,1996-09-20,1996-09-23
1395,1996-09-27,1996-09-30
1396,1996-10-04,1996-10-07
1397,1996-10-11,1996-10-14
1398,1996-10-18,1996-10-21
1399,1996-10-25,1996-10-28
1400,1996-11-01,1996-11-04
1401,1996-11-08,1996-11-11
1402,1996-11-15,1996-11-18
1403,1996-11-22,1996-11-25
1404,1996-11-29,1996-12-02
1405,1996-12-06,1996-12-09
1406,1996-12-13,1996-12-16
1407,1996-12-20,1996-12-23
1408,1996-12-27,1996-12-30
1409,1997-01-03,1997-01-06
1410,1997-01-10,1997-01-13
1411,1997-01-17,1997-01-20
1412,1997-01-24,1997-01-27
1413,1997-01-31,1997-02-03
1414,1997-02-07,1997-02-10
1415,1997-02-14,1997-02-17
1416,1997-02-21,1997-02-24
1417,1997-02-28,1997-03-03
1418,1997-03-07,1997-03-10
1419,1997-03-14,1997-03-17
1420,1997-03-21,1997-03-24
1421,1997-03-28,1997-03-31
1422,1997-04-04,1997-04-07
1423,1997-04-11,1997-04-14
1424,1997-04-18,1997-04-21
1425,1997-04-25,1997-04-28
1426,1997-05-02,1997-05-05
1427,1997-05-09,1997-05-12
1428,1997-05-16,1997-05-19
1429,1997-05-23,1997-05-26
1430,1997-05-30,1997-06-02
1431,1997-06-06,1997-06-09
1432,1997-06-13,1997-06-16
1433,1997-06-20,1997-06-23
1434,1997-06-27,1997-06-30
1435,1997-07-04,1997-07-07
1436,1997-07-11,1997-07-14
1437,1997-07-18,1997-07-21
1438,1997-07-25,1997-07-28
1439,1997-08-01,1997-08-04
1440,1997-08-08,1997-08-11
1441,1997-08-15,1997-08-18
1442,1997-08-22,1997-08-25
1443,1997-08-29,1997-09-01
1444,1997-09-05,1997-09-08
1445,1997-09-12,1997-09-15
1446,1997-09-19,1997-09-22
1447,1997-09-26,1997-09-29
1448,1997-10-03,1997-10-06
1449,1997-10-10,1997-10-13
1450,1997-10-17,1997-10-20
1451,1997-10-24,1997-10-27
1452,1997-10-31,1997-11-03
1453,1997-11-07,1997-11-10
1454,1997-11-14,1997-11-17
1455,1997-11-21,1997-11-24
1456,1997-11-28,1997-12-01
1457,1997-12-05,1997-12-08
1458,1997-12-12,1997-12-15
1459,1997-12-19,1997-12-22
1460,1997-12-26,1997-12-29
1461,1998-01-02,1998-01-05
1462,1998-01-09,1998-01-12
1463,1998-01-16,1998-01-19
1464,1998-01-23,1998-01-26
1465,1998-01-30,1998-02-02
1466,1998-02-06,1998-02-09
1467,1998-02-13,1998-02-16
1468,1998-02-20,1998-02-23
1469,1998-02-27,1998-03-02
1470,1998-03-06,1998-03-09
1471,1998-03-13,1998-03-16
1472,1998-03-20,1998-03-23
1473,1998-03-27,1998-03-30
1474,1998-04-03,1998-04-06
1475,1998-04-10,1998-04-13
1476,1998-04-17,1998-04-20
1477,1998-04-24,1998-04-27
1478,1998-05-01,1998-05-04
1479,1998-05-08,1998-05-11
1480,1998-05-15,1998-05-18
1481,1998-05-22,1998-05-25
1482,1998-05-29,1998-06-01
1483,1998-06-05,1998-06-08
1484,1998-06-12,1998-06-15
1485,1998-06-19,1998-06-22
1486,1998-06-26,1998-06-29
1487,1998-07-03,1998-07-06
1488,1998-07-10,1998-07-13
1489,1998-07-17,1998-07-20
1490,1998-07-24,1998-07-27
1491,1998-07-31,1998-08-03
1492,1998-08-07,1998-08-10
1493,1998-08-14,1998-08-17
1494,1998-08-21,1998-08-24
1495,1998-08-28,1998-08-31
1496,1998-09-04,1998-09-07
1497,1998-09-11,1998-09-14
1498,1998-09-18,1998-09-21
1499,1998-09-25,1998-09-28
1500,1998-10-02,1998-10-05
1501,1998-10-09,1998-10-12
1502,1998-10-16,1998-10-19
1503,1998-10-23,1998-10-26
1504,1998-10-30,1998-11-02
1505,1998-11-06,1998-11-09
1506,1998-11-13,1998-11-16
1507,1998-11-20,1998-11-23
1508,1998-11-27,1998-11-30
1509,1998-12-04,1998-12-07
1510,1998-12-11,1998-12-14
1511,1998-12-18,1998-12-21
1512,1998-12-25,1998-12-28
1513,1999-01-01,1999-01-04
1514,1999-01-08,1999-01-11
1515,1999-01-15,1999-01-18
1516,1999-01-22,1999-01-25
1517,1999-01-29,1999-02-01
1518,1999-02-05,1999-02-08
1519,1999-02-12,1999-02-15
1520,1999-02-19,1999-02-22
1521,1999-02-26,1999-03-01
1522,1999-03-05,1999-03-08
1523,1999-03-12,1999-03-15
1524,1999-03-19,1999-03-22
1525,1999-03-26,1999-03-29
1526,1999-04-02,1999-04-05
1527,1999-04-09,1999-04-12
1528,1999-04-16,1999-04-19
1529,1999-04-23,1999-04-26
1530,1999-04-30,1999-05-03
1531,1999-05-07,1999-05-10
1532,1999-05-14,1999-05-17
1533,1999-05-21,1999-05-24
1534,1999-05-28,1999-05-31
1535,1999-06-04,1999-06-07
1536,1999-06-11,1999-06-14
1537,1999-06-18,1999-06-21
1538,1999-06-25,1999-06-28
1539,1999-07-02,1999-07-05
1540,1999-07-09,1999-07-12
1541,1999-07-16,1999-07-19
1542,1999-07-23,1999-07-26
1543,1999-07-30,1999-08-02
1544,1999-08-06,1999-08-09
1545,1999-08-13,1999-08-16
1546,1999-08-20,1999-08-23
1547,1999-08-27,1999-08-30
1548,1999-09-03,1999-09-06
1549,1999-09-10,1999-09-13
1550,1999-09-17,1999-09-20
1551,1999-09-24,1999-09-27
1552,1999-10-01,1999-10-04
1553,1999-10-08,1999-10-11
1554,1999-10-15,1999-10-18
1555,1999-10-22,1999-10-25
1556,1999-10-29,1999-11-01
1557,1999-11-05,1999-11-08
1558,1999-11-12,1999-11-15
1559,1999-11-19,1999-11-22
1560,1999-11-26,1999-11-29
1561,1999-12-03,1999-12-06
1562,1999-12-10,1999-12-13
1563,1999-12-17,1999-12-20
1564,1999-12-24,1999-12-27
1565,1999-12-31,2000-01-03
1566,2000-01-07,2000-01-10
1567,2000-01-14,2000-01-17
1568,2000-01-21,2000-01-24
1569,2000-01-28,2000-01-31
1570,2000-02-04,2000-02-07
1571,2000-02-11,2000-02-14
1572,2000-02-18,2000-02-21
1573,2000-02-25,2000-02-28
1574,2000-03-03,2000-03-06
1575,2000-03-10,2000-03-13
1576,2000-03-17,2000-03-20
1577,2000-03-24,2000-03-27
1578,2000-03-31,2000-04-03
1579,2000-04-07,2000-04-10
1580,2000-04-14,2000-04-17
1581,2000-04-21,2000-04-24
1582,2000-04-28,2000-05-01
1583,2000-05-05,2000-05-08
1584,2000-05-12,2000-05-15
1585,2000-05-19,2000-05-22
1586,2000-05-26,2000-05-29
1587,2000-06-02,2000-06-05
1588,2000-06-09,2000-06-12
1589,2000-06-16,2000-06-19
1590,2000-06-23,2000-06-26
1591,2000-06-30,2000-07-03
1592,2000-07-07,2000-07-10
1593,2000-07-14,2000-07-17
1594,2000-07-21,2000-07-24
1595,2000-07-28,2000-07-31
1596,2000-08-04,2000-08-07
1597,2000-08-11,2000-08-14
1598,2000-08-18,2000-08-21
1599,2000-08-25,2000-08-28
1600,2000-09-01,2000-09-04
1601,2000-09-08,2000-09-11
1602,2000-09-15,2000-09-18
1603,2000-09-22,2000-09-25
1604,2000-09-29,2000-10-02
1605,2000-10-06,2000-10-09
1606,2000-10-13,2000-10-16
1607,2000-10-20,2000-10-23
1608,2000-10-27,2000-10-30
1609,2000-11-03,2000-11-06
1610,2000-11-10,2000-11-13
1611,2000-11-17,2000-11-20
1612,2000-11-24,2000-11-27
1613,2000-12-01,2000-12-04
1614,2000-12-08,2000-12-11
1615,2000-12-15,2000-12-18
1616,2000-12-22,2000-12-25
1617,2000-12-29,2001-01-01
1618,2001-01-05,2001-01-08
1619,2001-01-12,2001-01-15
1620,2001-01-19,2001-01-22
1621,2001-01-26,2001-01-29
1622,2001-02-02,2001-02-05
1623,2001-02-09,2001-02-12
1624,2001-02-16,2001-02-19
1625,2001-02-23,2001-02-26
1626,2001-03-02,2001-03-05
1627,2001-03-09,2001-03-12
1628,2001-03-16,2001-03-19
1629,2001-03-23,2001-03-26
1630,2001-03-30,2001-04-02
1631,2001-04-06,2001-04-09
1632,2001-04-13,2001-04-16
1633,2001-04-20,2001-04-23
1634,2001-04-27,2001-04-30
1635,2001-05-04,2001-05-07
1636,2001-05-11,2001-05-14
1637,2001-05-18,2001-05-21
1638,2001-05-25,2001-05-28
1639,2001-06-01,2001-06-04
1640,2001-06-08,2001-06-11
1641,2001-06-15,2001-06-18
1642,2001-06-22,2001-06-25
1643,2001-06-29,2001-07-02
1644,2001-07-06,2001-07-09
1645,2001-07-13,2001-07-16
1646,2001-07-20,2001-07-23
1647,2001-07-27,2001-07-30
1648,2001-08-03,2001-08-06
1649,2001-08-10,2001-08-13
1650,2001-08-17,2001-08-20
1651,2001-08-24,2001-08-27
1652,2001-08-31,2001-09-03
1653,2001-09-07,2001-09-10
1654,2001-09-14,2001-09-17
1655,2001-09-21,2001-09-24
1656,2001-09-28,2001-10-01
1657,2001-10-05,2001-10-08
1658,2001-10-12,2001-10-15
1659,2001-10-19,2001-10-22
1660,2001-10-26,2001-10-29
1661,2001-11-02,2001-11-05
1662,2001-11-09,2001-11-12
1663,2001-11-16,2001-11-19
1664,2001-11-23,2001-11-26
1665,2001-11-30,2001-12-03
1666,2001-12-07,2001-12-10
1667,2001-12-14,2001-12-17
1668,2001-12-21,2001-12-24
1669,2001-12-28,2001-12-31
1670,2002-01-04,2002-01-07
1671,2002-01-11,2002-01-14
1672,2002-01-18,2002-01-21
1673,2002-01-25,2002-01-28
1674,2002-02-01,2002-02-04
1675,2002-02-08,2002-02-11
1676,2002-02-15,2002-02-18
1677,2002-02-22,2002-02-25
1678,2002-03-01,2002-03-04
1679,2002-03-08,2002-03-11
1680,2002-03-15,2002-03-18
1681,2002-03-22,2002-03-25
1682,2002-03-29,2002-04-01
1683,2002-04-05,2002-04-08
1684,2002-04-12,2002-04-15
1685,2002-04-19,2002-04-22
1686,2002-04-26,2002-04-29
1687,2002-05-03,2002-05-06
1688,2002-05-10,2002-05-13
1689,2002-05-17,2002-05-20
1690,2002-05-24,2002-05-27
1691,2002-05-31,2002-06-03
1692,2002-06-07,2002-06-10
1693,2002-06-14,2002-06-17
1694,2002-06-21,2002-06-24
1695,2002-06-28,2002-07-01
1696,2002-07-05,2002-07-08
1697,2002-07-12,2002-07-15
1698,2002-07-19,2002-07-22
1699,2002-07-26,2002-07-29
1700,2002-08-02,2002-08-05
1701,2002-08-09,2002-08-12
